"altersklasse_covid19","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","entries_diff_abs","entries_diff_inz","entries_diff_pct","prct_diff","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_phase3","timeframe_28d","timeframe_14d"
"30 - 39","ZG",202021,0,24,0,0,18383,0,130.56,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"30 - 39","ZH",202021,1,520,0.083,8.3,253964,0.39,204.75,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-3,-1.19,-75,-6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","AG",202021,1,199,0.091,9.1,94902,1.05,209.69,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-3,-3.16,-75,-9.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","AI",202021,0,3,NA,NA,2002,0,149.85,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","AR",202021,0,15,NA,NA,7075,0,212.01,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","BE",202021,2,276,0.111,11.1,137708,1.45,200.42,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-1,-0.73,-33.3,-4.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","BL",202021,0,150,NA,NA,39007,0,384.55,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-1,-2.56,-100,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","BS",202021,0,176,0,0,26859,0,655.27,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-1,-3.72,-100,-16.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","FL",202021,0,13,NA,NA,5499,0,236.41,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","FR",202021,2,176,0.2,20,45232,4.42,389.11,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",2,4.42,NA,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","GE",202021,2,987,0.105,10.5,76190,2.63,1295.45,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-2,-2.62,-50,-3.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","GL",202021,0,14,NA,NA,5149,0,271.9,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","GR",202021,1,118,0.333,33.3,26347,3.8,447.87,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",1,3.8,NA,33.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","JU",202021,0,24,0,0,9160,0,262.01,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","LU",202021,1,103,0.125,12.5,55340,1.81,186.12,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,0,3.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","NE",202021,0,115,0,0,24822,0,463.3,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","NW",202021,0,20,NA,NA,5612,0,356.38,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","OW",202021,1,9,0.333,33.3,5030,19.88,178.93,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",1,19.88,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","SG",202021,0,116,0,0,66235,0,175.13,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","SH",202021,0,7,0,0,10434,0,67.09,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","SO",202021,0,62,0,0,35831,0,173.03,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","SZ",202021,0,52,NA,NA,22712,0,228.95,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","TG",202021,0,40,0,0,36766,0,108.8,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-1,-2.72,-100,-50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","TI",202021,7,464,0.304,30.4,50723,13.8,914.77,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",3,5.91,75,9.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","UR",202021,1,10,1,100,4775,20.94,209.42,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",1,20.94,NA,100,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","VD",202021,2,827,0.08,8,117016,1.71,706.74,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-1,-0.85,-33.3,-0.0999999999999996,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","VS",202021,1,244,0.2,20,45748,2.19,533.36,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-2,-4.37,-66.7,4.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","ZG",202021,1,23,0.333,33.3,19414,5.15,118.47,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",1,5.15,NA,33.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","ZH",202021,1,574,0.083,8.3,228236,0.44,251.49,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-7,-3.07,-87.5,-20.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","AG",202021,1,253,0.091,9.1,106964,0.93,236.53,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,0,4.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","AI",202021,0,13,NA,NA,2441,0,532.57,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","AR",202021,0,22,NA,NA,8854,0,248.48,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","BE",202021,2,383,0.111,11.1,156601,1.28,244.57,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-2,-1.27,-50,-10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","BL",202021,0,202,NA,NA,45905,0,440.04,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","BS",202021,0,227,0,0,27696,0,819.61,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","FL",202021,0,12,NA,NA,6072,0,197.63,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","FR",202021,2,186,0.2,20,48107,4.16,386.64,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,0,-5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","GE",202021,3,1051,0.158,15.8,71485,4.2,1470.24,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-4,-5.59,-57.1,-9.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","GL",202021,0,21,NA,NA,6217,0,337.78,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","GR",202021,1,163,0.333,33.3,31658,3.16,514.88,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",1,3.16,NA,33.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","JU",202021,0,50,0,0,10899,0,458.76,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","LU",202021,1,178,0.125,12.5,62117,1.61,286.56,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-1,-1.61,-50,-5.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","NE",202021,1,122,0.2,20,25447,3.93,479.43,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-2,-7.86,-66.7,-55,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","NW",202021,0,37,NA,NA,7265,0,509.29,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-1,-13.76,-100,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","OW",202021,0,17,0,0,6131,0,277.28,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","SG",202021,0,161,0,0,76499,0,210.46,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-2,-2.61,-100,-66.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","SH",202021,0,21,0,0,12774,0,164.4,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","SO",202021,0,94,0,0,43861,0,214.31,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-4,-9.12,-100,-36.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","SZ",202021,0,56,NA,NA,26942,0,207.85,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-1,-3.71,-100,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","TG",202021,1,75,1,100,44638,2.24,168.02,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",1,2.24,NA,100,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","TI",202021,7,658,0.304,30.4,57478,12.18,1144.79,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",4,6.96,133.3,14.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","UR",202021,0,14,0,0,5504,0,254.36,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","VD",202021,3,1072,0.12,12,113315,2.65,946.04,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-4,-3.53,-57.1,-6.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","VS",202021,1,408,0.2,20,52601,1.9,775.65,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-2,-3.8,-66.7,4.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","ZG",202021,1,39,0.333,33.3,20806,4.81,187.45,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",1,4.81,NA,33.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","ZH",202021,2,707,0.167,16.7,220632,0.91,320.44,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-2,-0.9,-50,2.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","AG",202021,3,161,0.273,27.3,79161,3.79,203.38,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",1,1.26,50,17.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","AI",202021,0,2,NA,NA,1884,0,106.16,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","AR",202021,0,14,NA,NA,7030,0,199.15,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","BE",202021,3,226,0.167,16.7,125570,2.39,179.98,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,0,0.899999999999999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","BL",202021,0,100,NA,NA,35126,0,284.69,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","BS",202021,0,117,0,0,20767,0,563.39,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","FL",202021,0,11,NA,NA,4811,0,228.64,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","FR",202021,0,123,0,0,33114,0,371.44,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-3,-9.06,-100,-37.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","GE",202021,1,506,0.053,5.3,46829,2.14,1080.53,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-3,-6.4,-75,-9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","GL",202021,0,17,NA,NA,5138,0,330.87,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","GR",202021,0,115,0,0,25798,0,445.77,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","JU",202021,0,35,0,0,9044,0,387,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","LU",202021,2,75,0.25,25,45366,4.41,165.32,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",1,2.21,100,15.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","NE",202021,0,64,0,0,18700,0,342.25,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","NW",202021,0,9,NA,NA,5645,0,159.43,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","OW",202021,0,4,0,0,4693,0,85.23,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","SG",202021,0,105,0,0,57360,0,183.05,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","SH",202021,0,14,0,0,10288,0,136.08,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","SO",202021,0,51,0,0,34155,0,149.32,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-2,-5.86,-100,-18.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","SZ",202021,0,48,NA,NA,19143,0,250.74,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","TG",202021,0,56,0,0,33055,0,169.41,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-1,-3.03,-100,-50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","TI",202021,0,385,0,0,41962,0,917.5,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-1,-2.38,-100,-5.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","UR",202021,0,9,0,0,4670,0,192.72,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","VD",202021,3,724,0.12,12,77560,3.87,933.47,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,0,3.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","VS",202021,1,241,0.2,20,40752,2.45,591.38,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",1,2.45,NA,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","ZG",202021,0,21,0,0,13758,0,152.64,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-1,-7.27,-100,-25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","ZH",202021,2,449,0.167,16.7,151391,1.32,296.58,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-3,-1.98,-60,-1.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","AG",202021,0,84,0,0,55576,0,151.14,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-1,-1.8,-100,-4.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","AI",202021,0,3,NA,NA,1332,0,225.23,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","AR",202021,0,11,NA,NA,4867,0,226.01,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-1,-20.55,-100,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","BE",202021,2,147,0.111,11.1,99066,2.02,148.39,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",1,1.01,100,5.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","BL",202021,0,73,NA,NA,29003,0,251.7,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","BS",202021,1,101,1,100,16111,6.21,626.9,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,0,83.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","FL",202021,0,3,NA,NA,3385,0,88.63,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","FR",202021,0,136,0,0,23665,0,574.69,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","GE",202021,1,372,0.053,5.3,36581,2.73,1016.92,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",1,2.73,NA,5.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","GL",202021,0,8,NA,NA,3615,0,221.3,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","GR",202021,0,81,0,0,19606,0,413.14,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","JU",202021,1,17,0.5,50,6890,14.51,246.73,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",1,14.51,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","LU",202021,0,59,0,0,32315,0,182.58,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-1,-3.09,-100,-9.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","NE",202021,1,67,0.2,20,15284,6.54,438.37,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",1,6.54,NA,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","NW",202021,0,6,NA,NA,4236,0,141.64,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","OW",202021,2,7,0.667,66.7,3228,61.96,216.85,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",2,61.96,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","SG",202021,0,69,0,0,42703,0,161.58,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","SH",202021,0,8,0,0,7758,0,103.12,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","SO",202021,0,42,0,0,24048,0,174.65,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","SZ",202021,0,22,NA,NA,13024,0,168.92,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","TG",202021,0,45,0,0,22373,0,201.14,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","TI",202021,2,432,0.087,8.7,36178,5.53,1194.1,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-2,-5.53,-50,-12.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","UR",202021,0,15,0,0,3418,0,438.85,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","VD",202021,0,577,0,0,60455,0,954.43,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-2,-3.31,-100,-5.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","VS",202021,0,214,0,0,31866,0,671.56,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-2,-6.28,-100,-10.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","ZG",202021,0,16,0,0,10107,0,158.31,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-1,-9.89,-100,-25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","ZH",202021,1,283,0.083,8.3,118213,0.85,239.4,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-1,-0.84,-50,1.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","AG",202021,1,121,0.091,9.1,31821,3.14,380.25,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-4,-12.57,-80,-14.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","AI",202021,0,1,NA,NA,952,0,105.04,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","AR",202021,0,9,NA,NA,2971,0,302.93,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","BE",202021,1,214,0.056,5.6,61530,1.63,347.8,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-2,-3.25,-66.7,-10.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","BL",202021,0,90,NA,NA,19047,0,472.52,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","BS",202021,0,117,0,0,13218,0,885.16,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","FL",202021,0,5,NA,NA,1528,0,327.23,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","FR",202021,0,227,0,0,12913,0,1757.92,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-21",-1,-7.74,-100,-12.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
