"sex","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","entries_diff_abs","entries_diff_inz","entries_diff_pct","prct_diff","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_phase3","timeframe_28d","timeframe_14d"
"male","CHFL",202013,3420,7968,0.464,46.4,4288078,79.76,185.82,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-13",225,5.25,7,-2.09999999999999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"female","CHFL",202013,3935,8683,0.534,53.4,4356702,90.32,199.3,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-13",541,12.42,15.9,1.90000000000001,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"unknown","CHFL",202013,9,14,0.001,0.1,NA,NA,NA,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-13",6,NA,200,0.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"male","CHFL",202014,2704,10672,0.448,44.8,4288078,63.06,248.88,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-14",-716,-16.7,-20.9,-1.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"female","CHFL",202014,3332,12015,0.552,55.2,4356702,76.48,275.78,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-14",-603,-13.84,-15.3,1.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"unknown","CHFL",202014,4,18,0.001,0.1,NA,NA,NA,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-14",-5,NA,-55.6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"male","CHFL",202015,1529,12201,0.424,42.4,4288078,35.66,284.53,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-15",-1175,-27.4,-43.5,-2.40000000000001,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"female","CHFL",202015,2072,14087,0.575,57.5,4356702,47.56,323.34,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-15",-1260,-28.92,-37.8,2.29999999999999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"unknown","CHFL",202015,1,19,0,0,NA,NA,NA,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-15",-3,NA,-75,-0.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"male","CHFL",202016,714,12915,0.388,38.8,4288078,16.65,301.18,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-16",-815,-19.01,-53.3,-3.59999999999999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"female","CHFL",202016,1127,15214,0.612,61.2,4356702,25.87,349.21,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-16",-945,-21.69,-45.6,3.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"unknown","CHFL",202016,0,19,0,0,NA,NA,NA,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-16",-1,NA,-100,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"male","CHFL",202017,496,13411,0.425,42.5,4288078,11.57,312.75,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-17",-218,-5.08,-30.5,3.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"female","CHFL",202017,672,15886,0.575,57.5,4356702,15.42,364.63,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-17",-455,-10.45,-40.4,-3.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"unknown","CHFL",202017,0,19,0,0,NA,NA,NA,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-17",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"male","CHFL",202018,300,13711,0.429,42.9,4288078,7,319.75,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-18",-196,-4.57,-39.5,0.399999999999999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"female","CHFL",202018,398,16284,0.569,56.9,4356702,9.14,373.77,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-18",-274,-6.28,-40.8,-0.600000000000001,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"unknown","CHFL",202018,2,21,0.003,0.3,NA,NA,NA,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-18",2,NA,NA,0.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"male","CHFL",202019,187,13898,0.465,46.5,4288078,4.36,324.11,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-19",-113,-2.64,-37.7,3.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"female","CHFL",202019,215,16499,0.535,53.5,4356702,4.93,378.7,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-19",-183,-4.21,-46,-3.39999999999999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"unknown","CHFL",202019,0,21,0,0,NA,NA,NA,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-19",-2,NA,-100,-0.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"male","CHFL",202020,115,14013,0.498,49.8,4288078,2.68,326.79,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-20",-72,-1.68,-38.5,3.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"female","CHFL",202020,116,16615,0.502,50.2,4356702,2.66,381.37,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-20",-99,-2.27,-46,-3.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
