"sex","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","entries_diff_abs","entries_diff_inz","entries_diff_pct","prct_diff","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_phase3","timeframe_28d","timeframe_14d"
"unknown","CHFL",202018,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-05-07_07-49-23","isoweek","2020-18",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"male","CHFL",202019,32,964,0.593,59.3,4288078,0.75,22.48,"COVID19Death","sex","2021-05-07_07-49-23","isoweek","2020-19",-18,-0.42,-36,3.09999999999999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"female","CHFL",202019,22,722,0.407,40.7,4356702,0.5,16.57,"COVID19Death","sex","2021-05-07_07-49-23","isoweek","2020-19",-17,-0.4,-43.6,-3.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"unknown","CHFL",202019,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-05-07_07-49-23","isoweek","2020-19",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"male","CHFL",202020,11,975,0.611,61.1,4288078,0.26,22.74,"COVID19Death","sex","2021-05-07_07-49-23","isoweek","2020-20",-21,-0.49,-65.6,1.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"female","CHFL",202020,7,729,0.389,38.9,4356702,0.16,16.73,"COVID19Death","sex","2021-05-07_07-49-23","isoweek","2020-20",-15,-0.34,-68.2,-1.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"unknown","CHFL",202020,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-05-07_07-49-23","isoweek","2020-20",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"male","CHFL",202021,8,983,0.571,57.1,4288078,0.19,22.92,"COVID19Death","sex","2021-05-07_07-49-23","isoweek","2020-21",-3,-0.07,-27.3,-4.00000000000001,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"female","CHFL",202021,6,735,0.429,42.9,4356702,0.14,16.87,"COVID19Death","sex","2021-05-07_07-49-23","isoweek","2020-21",-1,-0.02,-14.3,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"unknown","CHFL",202021,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-05-07_07-49-23","isoweek","2020-21",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"male","CHFL",202022,2,985,0.5,50,4288078,0.05,22.97,"COVID19Death","sex","2021-05-07_07-49-23","isoweek","2020-22",-6,-0.14,-75,-7.09999999999999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"female","CHFL",202022,2,737,0.5,50,4356702,0.05,16.92,"COVID19Death","sex","2021-05-07_07-49-23","isoweek","2020-22",-4,-0.09,-66.7,7.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"unknown","CHFL",202022,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-05-07_07-49-23","isoweek","2020-22",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"male","CHFL",202023,1,986,1,100,4288078,0.02,22.99,"COVID19Death","sex","2021-05-07_07-49-23","isoweek","2020-23",-1,-0.03,-50,50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"female","CHFL",202023,0,737,0,0,4356702,0,16.92,"COVID19Death","sex","2021-05-07_07-49-23","isoweek","2020-23",-2,-0.05,-100,-50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"unknown","CHFL",202023,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-05-07_07-49-23","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"male","CHFL",202024,3,989,0.75,75,4288078,0.07,23.06,"COVID19Death","sex","2021-05-07_07-49-23","isoweek","2020-24",2,0.05,200,-25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
