date,type,geoRegion,type_variant,entries,sumTotal,version
2021-06-17,COVID19Certificates,CH,recovered,4274,35993,2021-07-05_09-53-04
2021-06-17,COVID19Certificates,CH,tested,368,845,2021-07-05_09-53-04
2021-06-17,COVID19Certificates,CH,vaccinated,124143,1290392,2021-07-05_09-53-04
2021-06-18,COVID19Certificates,CH,all,476930,1804160,2021-07-05_09-53-04
2021-06-18,COVID19Certificates,CH,recovered,5233,41226,2021-07-05_09-53-04
2021-06-18,COVID19Certificates,CH,tested,435,1280,2021-07-05_09-53-04
2021-06-18,COVID19Certificates,CH,vaccinated,471262,1761654,2021-07-05_09-53-04
2021-06-19,COVID19Certificates,CH,all,37306,1841466,2021-07-05_09-53-04
2021-06-19,COVID19Certificates,CH,recovered,1239,42465,2021-07-05_09-53-04
2021-06-19,COVID19Certificates,CH,tested,273,1553,2021-07-05_09-53-04
2021-06-19,COVID19Certificates,CH,vaccinated,35794,1797448,2021-07-05_09-53-04
2021-06-20,COVID19Certificates,CH,all,49400,1890866,2021-07-05_09-53-04
2021-06-20,COVID19Certificates,CH,recovered,1470,43935,2021-07-05_09-53-04
2021-06-20,COVID19Certificates,CH,tested,161,1714,2021-07-05_09-53-04
2021-06-20,COVID19Certificates,CH,vaccinated,47769,1845217,2021-07-05_09-53-04
2021-06-21,COVID19Certificates,CH,all,258681,2149547,2021-07-05_09-53-04
2021-06-21,COVID19Certificates,CH,recovered,3842,47777,2021-07-05_09-53-04
2021-06-21,COVID19Certificates,CH,tested,341,2055,2021-07-05_09-53-04
2021-06-21,COVID19Certificates,CH,vaccinated,254498,2099715,2021-07-05_09-53-04
2021-06-22,COVID19Certificates,CH,all,181743,2331290,2021-07-05_09-53-04
2021-06-22,COVID19Certificates,CH,recovered,4081,51858,2021-07-05_09-53-04
2021-06-22,COVID19Certificates,CH,tested,500,2555,2021-07-05_09-53-04
2021-06-22,COVID19Certificates,CH,vaccinated,177162,2276877,2021-07-05_09-53-04
2021-06-23,COVID19Certificates,CH,all,108960,2440250,2021-07-05_09-53-04
2021-06-23,COVID19Certificates,CH,recovered,5326,57184,2021-07-05_09-53-04
2021-06-23,COVID19Certificates,CH,tested,769,3324,2021-07-05_09-53-04
2021-06-23,COVID19Certificates,CH,vaccinated,102865,2379742,2021-07-05_09-53-04
2021-06-24,COVID19Certificates,CH,all,89943,2530193,2021-07-05_09-53-04
2021-06-24,COVID19Certificates,CH,recovered,5419,62603,2021-07-05_09-53-04
2021-06-24,COVID19Certificates,CH,tested,1390,4714,2021-07-05_09-53-04
2021-06-24,COVID19Certificates,CH,vaccinated,83134,2462876,2021-07-05_09-53-04
2021-06-25,COVID19Certificates,CH,all,138383,2668576,2021-07-05_09-53-04
2021-06-25,COVID19Certificates,CH,recovered,5282,67885,2021-07-05_09-53-04
2021-06-25,COVID19Certificates,CH,tested,5280,9994,2021-07-05_09-53-04
2021-06-25,COVID19Certificates,CH,vaccinated,127821,2590697,2021-07-05_09-53-04
2021-06-26,COVID19Certificates,CH,all,52179,2720755,2021-07-05_09-53-04
2021-06-26,COVID19Certificates,CH,recovered,1646,69531,2021-07-05_09-53-04
2021-06-26,COVID19Certificates,CH,tested,4903,14897,2021-07-05_09-53-04
2021-06-26,COVID19Certificates,CH,vaccinated,45630,2636327,2021-07-05_09-53-04
2021-06-27,COVID19Certificates,CH,all,33487,2754242,2021-07-05_09-53-04
2021-06-27,COVID19Certificates,CH,recovered,1621,71152,2021-07-05_09-53-04
2021-06-27,COVID19Certificates,CH,tested,1154,16051,2021-07-05_09-53-04
2021-06-27,COVID19Certificates,CH,vaccinated,30712,2667039,2021-07-05_09-53-04
2021-06-28,COVID19Certificates,CH,all,137425,2891667,2021-07-05_09-53-04
2021-06-28,COVID19Certificates,CH,recovered,2608,73760,2021-07-05_09-53-04
2021-06-28,COVID19Certificates,CH,tested,5272,21323,2021-07-05_09-53-04
2021-06-28,COVID19Certificates,CH,vaccinated,129545,2796584,2021-07-05_09-53-04
2021-06-29,COVID19Certificates,CH,all,100117,2991784,2021-07-05_09-53-04
2021-06-29,COVID19Certificates,CH,recovered,1959,75719,2021-07-05_09-53-04
2021-06-29,COVID19Certificates,CH,tested,5428,26751,2021-07-05_09-53-04
2021-06-29,COVID19Certificates,CH,vaccinated,92730,2889314,2021-07-05_09-53-04
2021-06-30,COVID19Certificates,CH,all,218685,3210469,2021-07-05_09-53-04
2021-06-30,COVID19Certificates,CH,recovered,2223,77942,2021-07-05_09-53-04
2021-06-30,COVID19Certificates,CH,tested,11122,37873,2021-07-05_09-53-04
2021-06-30,COVID19Certificates,CH,vaccinated,205340,3094654,2021-07-05_09-53-04
2021-07-01,COVID19Certificates,CH,all,144685,3355154,2021-07-05_09-53-04
2021-07-01,COVID19Certificates,CH,recovered,1928,79870,2021-07-05_09-53-04
2021-07-01,COVID19Certificates,CH,tested,22841,60714,2021-07-05_09-53-04
2021-07-01,COVID19Certificates,CH,vaccinated,119916,3214570,2021-07-05_09-53-04
2021-07-02,COVID19Certificates,CH,all,114038,3469192,2021-07-05_09-53-04
2021-07-02,COVID19Certificates,CH,recovered,2048,81918,2021-07-05_09-53-04
2021-07-02,COVID19Certificates,CH,tested,39449,100163,2021-07-05_09-53-04
2021-07-02,COVID19Certificates,CH,vaccinated,72541,3287111,2021-07-05_09-53-04
2021-07-03,COVID19Certificates,CH,all,78453,3547645,2021-07-05_09-53-04
2021-07-03,COVID19Certificates,CH,recovered,1197,83115,2021-07-05_09-53-04
2021-07-03,COVID19Certificates,CH,tested,32013,132176,2021-07-05_09-53-04
2021-07-03,COVID19Certificates,CH,vaccinated,45243,3332354,2021-07-05_09-53-04
2021-07-04,COVID19Certificates,CH,all,40202,3587847,2021-07-05_09-53-04
2021-07-04,COVID19Certificates,CH,recovered,1305,84420,2021-07-05_09-53-04
2021-07-04,COVID19Certificates,CH,tested,12074,144250,2021-07-05_09-53-04
2021-07-04,COVID19Certificates,CH,vaccinated,26823,3359177,2021-07-05_09-53-04
